seccion;P_kN;paso;phi_1_m;M_kNm
columna_70x70;0,0;104;0,0006240000000000006;349,5938911529146
columna_70x70;0,0;105;0,0006300000000000007;351,0435328376416
columna_70x70;0,0;106;0,0006360000000000007;352,4928734394169
columna_70x70;0,0;107;0,0006420000000000008;353,9419128274681
columna_70x70;0,0;108;0,0006480000000000007;355,39065087091484
columna_70x70;0,0;109;0,0006540000000000007;356,8390874387733
columna_70x70;0,0;110;0,0006600000000000008;358,2872223999501
columna_70x70;0,0;111;0,0006660000000000008;359,7350556232459
columna_70x70;0,0;112;0,0006720000000000008;361,07290115903464
columna_70x70;0,0;113;0,0006780000000000009;362,33446388698036
columna_70x70;0,0;114;0,0006840000000000007;363,595789889469
columna_70x70;0,0;115;0,0006900000000000007;364,8568790687494
columna_70x70;0,0;116;0,0006960000000000008;366,1177313271793
columna_70x70;0,0;117;0,0007020000000000008;367,3783465670446
columna_70x70;0,0;118;0,0007080000000000008;368,6387246905546
columna_70x70;0,0;119;0,0007140000000000009;369,89886559984336
columna_70x70;0,0;120;0,0007200000000000008;371,158769196969
columna_70x70;0,0;121;0,0007260000000000008;372,4184353839141
columna_70x70;0,0;122;0,0007320000000000009;373,6778640625869
columna_70x70;0,0;123;0,0007380000000000009;374,9370551348177
columna_70x70;0,0;124;0,000744000000000001;376,1960085023632
columna_70x70;0,0;125;0,000750000000000001;377,4547240669017
columna_70x70;0,0;126;0,0007560000000000008;378,71320173003807
columna_70x70;0,0;127;0,0007620000000000008;379,9714413932984
columna_70x70;0,0;128;0,0007680000000000009;381,2294429581346
columna_70x70;0,0;129;0,0007740000000000009;382,4872063259214
columna_70x70;0,0;130;0,000780000000000001;383,69487553904486
columna_70x70;0,0;131;0,000786000000000001;384,79522821168155
columna_70x70;0,0;132;0,0007920000000000009;385,8953962598835
columna_70x70;0,0;133;0,000798000000000001;386,9953796110183
columna_70x70;0,0;134;0,000804000000000001;388,09517819256104
columna_70x70;0,0;135;0,000810000000000001;389,1947919319352
columna_70x70;0,0;136;0,0008160000000000011;390,2942207565106
columna_70x70;0,0;137;0,0008220000000000011;391,39346459360223
columna_70x70;0,0;138;0,0008280000000000009;392,49252337047307
columna_70x70;0,0;139;0,000834000000000001;393,5913970143323
columna_70x70;0,0;140;0,000840000000000001;394,69008545233413
columna_70x70;0,0;141;0,000846000000000001;395,7885886115787
columna_70x70;0,0;142;0,0008520000000000011;396,88690641911643
columna_70x70;0,0;143;0,0008580000000000011;397,985038801938
columna_70x70;0,0;144;0,000864000000000001;399,0829856869841
columna_70x70;0,0;145;0,0008700000000000011;400,18074700114073
columna_70x70;0,0;146;0,0008760000000000011;401,2783226712393
columna_70x70;0,0;147;0,0008820000000000012;402,3757126240563
columna_70x70;0,0;148;0,0008880000000000012;403,47290466353155
columna_70x70;0,0;149;0,0008940000000000011;404,56992296519377
columna_70x70;0,0;150;0,0009000000000000011;405,66675532956316
columna_70x70;0,0;151;0,0009060000000000011;406,7634016832211
columna_70x70;0,0;152;0,0009120000000000011;407,8598619526729
columna_70x70;0,0;153;0,0009180000000000012;408,9561360643698
