curva;seccion;modelo;punto;P_kN;M_kNm
pm_muro_30x356;muro_30x356;HA;29;1494,127014769184;20933,49040163642
pm_muro_30x356;muro_30x356;HA;30;1591,539432533385;21077,59095005719
pm_muro_30x356;muro_30x356;HA;31;1687,3654809734994;21218,880518988066
pm_muro_30x356;muro_30x356;HA;32;1781,696681396687;21357,498997069953
pm_muro_30x356;muro_30x356;HA;33;1874,6176478416407;21493,575715310475
pm_muro_30x356;muro_30x356;HA;34;1966,2067266404852;21627,23042464262
pm_muro_30x356;muro_30x356;HA;35;2056,536566210281;21758,574166840608
pm_muro_30x356;muro_30x356;HA;36;2145,6746257954405;21887,71005212336
pm_muro_30x356;muro_30x356;HA;37;2233,683630658314;22014,733954904965
pm_muro_30x356;muro_30x356;HA;38;2320,6219801810885;22139,735137570944
pm_muro_30x356;muro_30x356;HA;39;2406,443602645997;22262,617899780427
pm_muro_30x356;muro_30x356;HA;40;2482,6055482214997;22368,163010995555
pm_muro_30x356;muro_30x356;HA;41;2558,1379218109205;22472,43211612869
pm_muro_30x356;muro_30x356;HA;42;2633,0711865748754;22575,46826822988
pm_muro_30x356;muro_30x356;HA;43;2707,433871505055;22677,31178682219
pm_muro_30x356;muro_30x356;HA;44;2781,2527225311655;22778,000471458483
pm_muro_30x356;muro_30x356;HA;45;2854,5528396795503;22877,569795565316
pm_muro_30x356;muro_30x356;HA;46;2927,3578017628324;22976,05308266458
pm_muro_30x356;muro_30x356;HA;47;2999,68977990333;23073,481666814187
pm_muro_30x356;muro_30x356;HA;48;3071,5696410396945;23169,885038892167
pm_muro_30x356;muro_30x356;HA;49;3143,0170424329767;23265,29098016043
pm_muro_30x356;muro_30x356;HA;50;3214,050518072164;23359,725684380213
pm_muro_30x356;muro_30x356;HA;51;3282,571618810664;23449,955323598417
pm_muro_30x356;muro_30x356;HA;52;3343,0842849767937;23527,51387277927
pm_muro_30x356;muro_30x356;HA;53;3403,4996178233046;23604,582449403315
pm_muro_30x356;muro_30x356;HA;54;3464,4493094134286;23681,654900692833
pm_muro_30x356;muro_30x356;HA;55;3527,018955572891;23759,579058676176
pm_muro_30x356;muro_30x356;HA;56;3589,440979464998;23836,977224532133
pm_muro_30x356;muro_30x356;HA;57;3651,7211326066617;23913,854843030047
pm_muro_30x356;muro_30x356;HA;58;3713,8648715652052;23990,21707972033
pm_muro_30x356;muro_30x356;HA;59;3775,8773766260642;24066,06883860651
pm_muro_30x356;muro_30x356;HA;60;3837,7635690604016;24141,41477849197
pm_muro_30x356;muro_30x356;HA;61;3899,5281271136446;24216,259328115706
pm_muro_30x356;muro_30x356;HA;62;3961,175500824125;24290,606700180677
pm_muro_30x356;muro_30x356;HA;63;4022,709925770498;24364,460904368003
pm_muro_30x356;muro_30x356;HA;64;4084,1354358371955;24437,82575942162
pm_muro_30x356;muro_30x356;HA;65;4145,455875078794;24510,704904379858
pm_muro_30x356;muro_30x356;HA;66;4206,674908756634;24583,10180902345
pm_muro_30x356;muro_30x356;HA;67;4267,796033614294;24655,019783602987
pm_muro_30x356;muro_30x356;HA;68;4328,822587452462;24726,461987903123
pm_muro_30x356;muro_30x356;HA;69;4390,779440001961;24798,02401522302
pm_muro_30x356;muro_30x356;HA;70;4453,569690223873;24869,650779866293
pm_muro_30x356;muro_30x356;HA;71;4516,231803078272;24940,78565932118
pm_muro_30x356;muro_30x356;HA;72;4578,769956957575;25011,43209844008
pm_muro_30x356;muro_30x356;HA;73;4641,188150538397;25081,59339390973
pm_muro_30x356;muro_30x356;HA;74;4703,490212340905;25151,2727021323
pm_muro_30x356;muro_30x356;HA;75;4765,679809684411;25220,47304660884
pm_muro_30x356;muro_30x356;HA;76;4827,760457083263;25289,19732486116
pm_muro_30x356;muro_30x356;HA;77;4889,7355241233745;25357,44831492566
pm_muro_30x356;muro_30x356;HA;78;4951,608242856545;25425,228681449487
pm_muro_30x356;muro_30x356;HA;79;5013,381714746622;25492,540981417267
pm_muro_30x356;muro_30x356;HA;80;5075,058917198897;25559,38766953427
pm_muro_30x356;muro_30x356;HA;81;5136,64270970162;25625,771103289688
pm_muro_30x356;muro_30x356;HA;82;5198,135839606253;25691,693547722174
pm_muro_30x356;muro_30x356;HA;83;5259,54094757099;25757,157179907706
pm_muro_30x356;muro_30x356;HA;84;5322,162555125338;25822,658846513903
pm_muro_30x356;muro_30x356;HA;85;5385,062256015336;25887,843038660714
pm_muro_30x356;muro_30x356;HA;86;5447,849887077221;25952,562538880222
pm_muro_30x356;muro_30x356;HA;87;5510,528590455705;26016,819546673734
pm_muro_30x356;muro_30x356;HA;88;5573,101391919775;26080,616180079538
pm_muro_30x356;muro_30x356;HA;89;5635,571206201016;26143,95447940974
pm_muro_30x356;muro_30x356;HA;90;5697,940842040781;26206,836410783286
pm_muro_30x356;muro_30x356;HA;91;5760,213006964514;26269,263869467995
pm_muro_30x356;muro_30x356;HA;92;5822,390311800323;26331,23868304353
pm_muro_30x356;muro_30x356;HA;93;5884,475274957622;26392,762614396503
pm_muro_30x356;muro_30x356;HA;94;5946,470326480582;26453,837364557814
pm_muro_30x356;muro_30x356;HA;95;6008,3778118901;26514,464575392096
pm_muro_30x356;muro_30x356;HA;96;6070,19999582704;26574,64583214795
pm_muro_30x356;muro_30x356;HA;97;6131,939065508648;26634,38266587746
pm_muro_30x356;muro_30x356;HA;98;6193,630637949146;26693,682586441806
pm_muro_30x356;muro_30x356;HA;99;6256,6878623123985;26752,801022554704
pm_muro_30x356;muro_30x356;HA;100;6319,6434662695965;26811,47489166572
pm_muro_30x356;muro_30x356;HA;101;6382,49996933494;26869,70563982331
pm_muro_30x356;muro_30x356;HA;102;6445,259808415606;26927,4946656645
pm_muro_30x356;muro_30x356;HA;103;6507,9253411697555;26984,84332234218
pm_muro_30x356;muro_30x356;HA;104;6570,498849202067;27041,75291935917
