caso;representante;elementTag;tipo;seccion;piso;L_m;x_local_m;N_kN;V_kN;M_kNm
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,0235;0,0;-0,005;0,0819
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,068;0,0;-0,005;0,0817
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,1125;0,0;-0,005;0,0814
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,157;0,0;-0,005;0,0812
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,2015;0,0;-0,005;0,081
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,246;0,0;-0,005;0,0808
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,2905;0,0;-0,005;0,0805
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,335;0,0;-0,005;0,0803
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,3795;0,0;-0,005;0,0801
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,424;0,0;-0,005;0,0799
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,4685;0,0;-0,005;0,0797
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,513;0,0;-0,005;0,0794
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,5575;0,0;-0,005;0,0792
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,602;0,0;-0,005;0,079
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,6465;0,0;-0,005;0,0788
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,691;0,0;-0,005;0,0785
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,7355;0,0;-0,005;0,0783
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,78;0,0;-0,005;0,0781
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,8245;0,0;-0,005;0,0779
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,869;0,0;-0,005;0,0776
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,9135;0,0;-0,005;0,0774
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,958;0,0;-0,005;0,0772
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,0025;0,0;-0,005;0,077
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,047;0,0;-0,005;0,0767
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,0915;0,0;-0,005;0,0765
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,136;0,0;-0,005;0,0763
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,1805;0,0;-0,005;0,0761
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,225;0,0;-0,005;0,0758
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,2695;0,0;-0,005;0,0756
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,314;0,0;-0,005;0,0754
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,3585;0,0;-0,005;0,0752
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,403;0,0;-0,005;0,0749
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,4475;0,0;-0,005;0,0747
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,492;0,0;-0,005;0,0745
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,5365;0,0;-0,005;0,0743
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,581;0,0;-0,005;0,074
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,6255;0,0;-0,005;0,0738
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,67;0,0;-0,005;0,0736
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,7145;0,0;-0,005;0,0734
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,759;0,0;-0,005;0,0731
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,8035;0,0;-0,005;0,0729
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,848;0,0;-0,005;0,0727
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,8925;0,0;-0,005;0,0725
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,937;0,0;-0,005;0,0722
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,9815;0,0;-0,005;0,072
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,026;0,0;-0,005;0,0718
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,0705;0,0;-0,005;0,0716
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,115;0,0;-0,005;0,0714
