nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
81;Q;-0,0001140364;-0,0001145413;-0,0009046609;-0,11403640000000001;-0,1145413;-0,9046609;0,16162923600218493;-0,00020221;1,77328e-05;4,316e-07
82;Q;-0,0001171653;-0,0001145413;-0,0019942077;-0,1171653;-0,1145413;-1,9942076999999998;0,16385181393496992;-9,67479e-05;1,65525e-05;4,316e-07
83;Q;-0,0001210063;-0,0001145413;-0,0010818125;-0,1210063;-0,1145413;-1,0818125;0,16662002894424185;0,0003274925;1,27154e-05;4,316e-07
84;Q;-0,0001140364;-0,0001166992;-0,0002054998;-0,11403640000000001;-0,1166992;-0,20549979999999998;0,16316557175335733;-3,33916e-05;2,96126e-05;4,316e-07
85;Q;-0,0001171653;-0,0001166992;-0,00045018;-0,1171653;-0,1166992;-0,45018;0,16536750226308072;-1,08654e-05;7,62421e-05;4,316e-07
86;Q;-0,0001210063;-0,0001166992;-0,0002421683;-0,1210063;-0,1166992;-0,2421683;0,168110760870118;0,0001047188;3,69298e-05;4,316e-07
87;Q;-0,0001140364;-0,000118857;-0,0001554346;-0,11403640000000001;-0,118857;-0,15543459999999998;0,16471577633596607;-1,6077e-06;-4,9836e-06;4,316e-07
88;Q;-0,0001171653;-0,000118857;-0,0003242554;-0,1171653;-0,118857;-0,32425539999999997;0,166897255738643;4,3585e-06;1,4064e-06;4,316e-07
89;Q;-0,0001210063;-0,000118857;-0,0001755858;-0,1210063;-0,118857;-0,1755858;0,16961577488161295;5,7956e-05;-6,8871e-06;4,316e-07
90;Q;-0,0002009373;-0,0001568319;-0,0002528883;-0,2009373;-0,1568319;-0,2528883;0,2548961423578238;-5,864e-07;-5,02574e-05;1,2479e-06
91;Q;-0,0002099843;-0,0001568319;-0,0004899033;-0,20998429999999998;-0,1568319;-0,4899033;0,2620871059478127;8,0214e-06;-6,97249e-05;1,2479e-06
92;Q;-0,0002210902;-0,0001568319;-0,0003417672;-0,2210902;-0,1568319;-0,3417672;0,2710666364450815;3,2164e-05;-8,02472e-05;1,2479e-06
93;Q;-0,0001978676;-0,0001693104;-0,0005821675;-0,1978676;-0,1693104;-0,5821675000000001;0,26041812279086873;-4,2555e-05;-0,0001066074;1,2479e-06
94;Q;-0,0002009373;-0,0001693104;-0,0006615057;-0,2009373;-0,1693104;-0,6615057;0,2627580828051727;-2,5661e-05;-7,2539e-05;1,2479e-06
95;Q;-0,0002099843;-0,0001693104;-0,0010992441;-0,20998429999999998;-0,1693104;-1,0992441;0,2697395369512041;-3,1317e-06;-8,42449e-05;1,2479e-06
96;Q;-0,0002210902;-0,0001693104;-0,0006714362;-0,2210902;-0,1693104;-0,6714362;0,2784724188931464;7,35943e-05;-3,08738e-05;1,2479e-06
97;Q;-0,0001978676;-0,0001720557;-0,0008566767;-0,1978676;-0,1720557;-0,8566767000000001;0,2622112717490421;-6,26073e-05;-0,0001467979;1,2479e-06
98;Q;-0,0002009373;-0,0001720557;-0,001066401;-0,2009373;-0,1720557;-1,066401;0,26453537085573264;-0,0001212447;-0,0002057121;1,2479e-06
99;Q;-0,0002099843;-0,0001720557;-0,0017380967;-0,20998429999999998;-0,1720557;-1,7380967;0,27147112212716107;-1,45739e-05;-0,0003648502;1,2479e-06
100;Q;-0,0002009373;-0,0001755497;-0,001311588;-0,2009373;-0,1755497;-1,311588;0,26682109305933815;-0,0001885023;6,25513e-05;1,2479e-06
101;Q;-0,0002099843;-0,0001755497;-0,0023102273;-0,20998429999999998;-0,1755497;-2,3102272999999998;0,2736989284169377;-8,64408e-05;7,10455e-05;1,2479e-06
102;Q;-0,0002210902;-0,0001755497;-0,0012975521;-0,2210902;-0,1755497;-1,2975521;0,2823093581625129;0,0003231717;4,66155e-05;1,2479e-06
