nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
440;EY;-0,0005462522;0,0200324764;0,0002464625;-0,5462522;20,0324764;0,24646249999999997;20,039922708996702;-0,0003135813;-0,0002030299;6,32013e-05
441;EY;0,0002893293;0,0242233721;0,0005845854;0,2893293;24,223372100000002;0,5845854;24,225099944869104;-0,0003120546;-3,2421e-05;4,0077e-05
442;EY;-1,2289e-06;0,0242233721;5,68322e-05;-0,0012289;24,223372100000002;0,0568322;24,223372131172276;-3,45106e-05;1,77663e-05;4,0077e-05
443;EY;-0,0003579142;0,0242233721;-0,0004463523;-0,3579142;24,223372100000002;-0,4463523;24,226016149371738;-0,0005363866;3,65216e-05;4,0077e-05
444;EY;0,0002893293;0,0246241421;0,0008027641;0,2893293;24,6241421;0,8027641;24,625841825302764;-0,0004434618;2,0957e-06;4,0077e-05
445;EY;-1,2289e-06;0,0246241421;-0,0001438638;-0,0012289;24,6241421;-0,1438638;24,62414213066493;-0,0001577571;-6,547e-07;4,0077e-05
446;EY;-0,0003579142;0,0246241421;-0,0006559964;-0,3579142;24,6241421;-0,6559963999999999;24,626743120752977;-0,0004375674;-8,8278e-06;4,0077e-05
447;EY;0,0002893293;0,0249748158;0,0005479534;0,2893293;24,974815800000002;0,5479534;24,976491660915233;-0,0002437858;7,65401e-05;4,0077e-05
448;EY;-1,2289e-06;0,0249748158;-0,0001048752;-0,0012289;24,974815800000002;-0,1048752;24,974815830234363;-0,00028032;-6,0134e-06;4,0077e-05
449;EY;-0,0003579142;0,0249748158;-0,0003864576;-0,3579142;24,974815800000002;-0,38645759999999996;24,977380303356302;-0,0002454268;-8,72243e-05;4,0077e-05
450;EY;0,0002893293;0,0251251045;-9,32533e-05;0,2893293;25,1251045;-0,0932533;25,12677033722716;-0,0001869734;0,0002020152;4,0077e-05
451;EY;-0,0003579142;0,0251251045;0,0002154477;-0,3579142;25,1251045;0,21544770000000002;25,127653665045642;-0,0002354336;-0,0001707228;4,0077e-05
452;EY;0,0002979303;0,0274297709;0,0005027287;0,29793030000000004;27,4297709;0,5027287;27,43138884727029;-0,0001903585;-4,61706e-05;3,63722e-05
453;EY;3,42322e-05;0,0274297709;3,35707e-05;0,0342322;27,4297709;0,0335707;27,429792260788336;-2,54187e-05;1,452e-05;3,63722e-05
454;EY;-0,00028948;0,0274297709;-0,0003766603;-0,28948;27,4297709;-0,3766603;27,431298370600086;-0,0003107449;4,33474e-05;3,63722e-05
455;EY;0,0002979303;0,0277934925;0,0006990092;0,29793030000000004;27,7934925;0,6990092;27,79508927510783;-0,0002708496;-5,1226e-06;3,63722e-05
456;EY;3,42322e-05;0,0277934925;-0,0001260618;0,0342322;27,7934925;-0,1260618;27,793513581249005;-9,73595e-05;-1,7897e-06;3,63722e-05
